Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Joseph M. Acaba,2004,19,Active,5/17/67,"Inglewood, CA",Male,"University Of California, Santa Barbara; University Of Arizona",Geology,Geology,,,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
Loren W. Acton,,,Retired,3/7/36,"Lewiston, MT",Male,Montana State University; University Of Colorado,Engineering Physics,Solar Physics,,,1,190,0,0,STS 51-F (Challenger),,
James C. Adamson,1984,10,Retired,3/3/46,"Warsaw, NY",Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",,
Thomas D. Akers,1987,12,Retired,5/20/51,"St. Louis, MO",Male,University Of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Buzz Aldrin,1963,3,Retired,1/20/30,"Montclair, NJ",Male,US Military Academy; Massachusetts Institute Of Technology,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8,"Gemini 12, Apollo 11",,
Andrew M. Allen,1987,12,Retired,8/4/55,"Philadelphia, PA",Male,Villanova University; University Of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
Joseph P. Allen,1967,6,Retired,6/27/37,"Crawsfordsville, IN",Male,DePauw University; Yale University,Mathematics & Physics,Physics,,,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",,
Scott D. Altman,1995,15,Retired,8/15/59,"Lincoln, IL",Male,University Of Illinois; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
William A. Anders,1963,3,Retired,10/17/33,Hong Kong,Male,US Naval Academy; Air Force Institute Of Technology,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,,
Clayton C. Anderson,1998,17,Retired,2/23/59,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,,,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Michael P. Anderson,1995,15,Deceased,12/25/59,"Plattsburgh, NY",Male,University Of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/03,STS-107 (Columbia)
Dominic A. Antonelli,2000,18,Active,8/23/67,"Detroit, MI",Male,Massachusetts Institute Of Technology; University Of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",,
Jerome Apt III ,1985,11,Retired,4/18/49,"Springfield, MA",Male,Harvard University; Massachusetts Institute Of Technology,Physics,Physics,,,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Lee J. Archambault,1998,17,Retired,8/25/60,"Oak Park, IL",Male,University Of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",,
Neil A. Armstrong,1962,2,Deceased,8/5/30,"Wapakoneta, OH",Male,Purdue University; University Of Southern California,Aeronautical Engineering,Aerospace Engineering,,,2,205,1,2,"Gemini 8, Apollo 11",8/25/12,
Richard R. Arnold II ,2004,19,Active,11/26/63,"Cheverly, MD",Male,Frostburg State University; University Of Maryland,Accounting,Environmental Science,,,1,307,2,12,STS-119 (Discovery),,
Jeffrey S. Ashby,1995,15,Retired,6/1/54,"Dallas, TX",Male,University Of Idaho; University Of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
Serena M. Aunon,2009,20,Active,4/9/76,"Indianapolis, IN",Female,George Washington University In St. Louis; University Of Texas,Electrical Engineering,Medicine,,,0,0,0,0,,,
James P. Bagian,1980,9,Retired,2/22/52,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,,,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",,
Ellen S. Baker,1984,10,Retired,4/27/53,"Fayettesville, NC",Female,State University Of New York-Buffalo; Cornell University; University Of Texas,Geology,Medicine; Public Health,,,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Michael A. Baker,1985,11,Management,10/27/53,"Memphis, TN",Male,University Of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
Michael R. Barratt,2000,18,Active,4/16/59,"Vancouver, WA",Male,University Of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,,,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
Daniel T. Barry,1992,14,Retired,12/30/53,"Norwalk, CT",Male,Cornell University; Princeton University; University Of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,,,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
John-David F. Bartoe,,,Retired,11/17/44,"Abington, PA",Male,Lehigh University; Georgetown University,Physics,Physics,,,1,190,0,0,STS 51-F (Challenger),,
Charles A. Bassett II ,1963,3,Deceased,12/30/31,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,,Captain,US Air Force,0,0,0,0,,2/28/66,
Alan L. Bean,1963,3,Retired,3/15/32,"Wheeler, TX",Male,University Of Texas,Aeronautical Engineering,,Captain,US Navy (Retired),2,1671,3,10,"Apollo 12, Skylab 3",,
Robert L. Behnken,2000,18,Active,7/28/70,"Creve Couer, MO",Male,Washington University In St. Louis; California Institute Of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",,
John E. Blaha,1980,9,Retired,8/26/42,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
Michael J. Bloomfield,1995,15,Retired,3/16/59,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
Guion S. Bluford Jr. ,1978,8,Retired,11/22/42,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Institute Of Technology; University Of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,Colonel,US Air Force (Retired),4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
Karol J. Bobko,1969,7,Retired,12/23/37,"New York, NY",Male,US Air Force Academy; University Of Southern California,,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
Eric A. Boe,2000,18,Active,10/1/64,"Miami, FL",Male,US Air Force Academy; Georgia Institute Of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",,
Charles F. Bolden Jr. ,1980,9,Management,8/19/46,"Columbia, SC",Male,US Naval Academy; University Of Southern California,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
Frank Borman,1962,2,Retired,3/14/28,"Gary, IN",Male,US Military Academy; California Institute Of Technology,,Aeronautical Engineering,Colonel,US Air Force (Retired),2,477,0,0,"Gemini 7, Apollo 8",,
Stephen G. Bowen,2000,18,Active,2/13/64,"Cohasset, MA",Male,US Naval Academy; Massachusetts Institute Of Technology,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Kenneth D. Bowersox,1987,12,Retired,11/14/56,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Charles E. Brady Jr. ,1992,14,Deceased,8/12/51,"Pinehurst, NC",Male,University Of North Carolina at Chapel Hill; Duke University,,Medicine,Captain,US Navy,1,405,0,0,STS-78 (Columbia),7/23/06,
Vance D. Brand,1966,5,Retired,5/9/31,"Longmont, CA",Male,University Of Colorado; University Of California Los Angeles,Business Management; Aeronautical Engineering,Business Administration,,US Marine Corps Reserves,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",,
Daniel C. Brandenstein,1978,8,Retired,1/17/43,"Watertown, WI",Male,University Of Wisconsin,Mathematics & Physics,,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Randolph J. Bresnik,2004,19,Active,9/11/67,"Fort Knox, KY",Male,The Citadel; University Of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,1,259,2,12,STS-129 (Atlantis),,
Roy D. Bridges Jr. ,1980,9,Retired,7/19/43,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Major General,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),,
Curtis L. Brown Jr. ,1987,12,Retired,3/11/56,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
David M. Brown,1996,16,Deceased,4/16/56,"Arlington, VA",Male,College Of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/03,STS-107 (Columbia)
Mark N. Brown,1984,10,Retired,11/18/51,"Valparaiso, IN",Male,Purdue University; Air Force Institute Of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",,
James F. Buchli,1978,8,Retired,6/20/45,"New Rockford, ND",Male,US Naval Academy; University Of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
Jay Clark Buckey,,,Retired,6/6/56,"New York, NY",Male,Cornell University,Electrical Engineering,Medicine,,,1,381,0,0,STS-90 (Columbia),,
John S. Bull,1966,5,Deceased,9/25/34,"Memphis, TN",Male,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,,,0,0,0,0,,8/11/08,
Daniel C. Burbank,1996,16,Active,7/27/61,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Daniel W. Bursch,1990,13,Retired,7/25/57,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
Robert D. Cabana,1985,11,Management,1/23/49,"Minneapolis, MN",Male,US Naval Academy,Mathematics,,Colonel,US Marine Corps (Retired),4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Yvonne D. Cagle,1996,16,Management,4/24/59,"West Point, NY",Female,San Francisco State University,Biochemistry,,Colonel,US Air Force,0,0,0,0,,,
Fernando Caldeiro,1996,16,Deceased,6/12/58,"Buenos Aires, Argentina",Male,University Of Arizona; University Of Central Florida,Mechanical Engineering,Engineering Management,,,0,0,0,0,,10/3/09,
Tracy E. Caldwell (Dyson),1998,17,Active,8/14/69,"Arcadia, CA",Female,California State University-Fullerton; University Of California-Davis,Chemistry,Physical Chemistry,,,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
Charles J. Camarda,1996,16,Management,5/8/52,"Queens, NY",Male,Polytechnic Institute Of Brooklyn; George Washington University In St. Louis; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,,,1,333,0,0,STS-114 (Discovery),,
Kenneth D. Cameron,1984,10,Retired,11/29/49,"Cleveland, OH",Male,Massachusetts Institute Of Technology; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Colonel,US Marine Corps (Retired),3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Duane G. Carey,1996,16,Retired,4/30/57,"St. Paul, MN",Male,University Of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
M. Scott Carpenter,1959,1,Retired,5/1/25,"Boulder, CO",Male,University Of Colorado,Aeronautical Engineering,,Commander,US Navy (Retired),1,4,0,0,Mercury 7,,
Gerald P. Carr,1966,5,Retired,8/22/32,"Denver, CO",Male,University Of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,2017,3,16,Skylab 4,,
Manley Lanier Carter Jr. ,1984,10,Deceased,8/15/47,"Macon, GA",Male,Emory University,Chemistry,Medicine,Captain,US Navy,1,120,0,0,STS-33 (Discovery),4/5/91,
John H. Casper,1984,10,Management,7/9/43,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Christopher J. Cassidy,2004,19,Active,1/4/70,"Salem, MA",Male,US Naval Academy; Massachusetts Institute Of Technology,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Robert Cenker,,,Retired,11/5/48,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,,,1,146,0,0,STS 61-C (Columbia),,
Eugene A. Cernan,1963,3,Retired,3/14/34,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",,
Roger B. Chaffee,1963,3,Deceased,2/15/35,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,,Lieutenant Commander,US Navy,1,0,0,0,Apollo 1,1/27/67,Apollo 1
Gregory E. ChaMassachusetts Institute Of TechnologyOff,1998,17,Active,8/6/62,"Montreal, Canada",Male,California Polytechnic State University; California Institute Of Technology; Massachusetts Institute Of Technology,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,,,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Franklin R. Chang-Diaz,1980,9,Retired,4/5/50,"San Jose, Costa Rica",Male,University Of Connecticut; Massachusetts Institute Of Technology,Mechanical Engineering,Applied Plasma Physics,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
Philip K. Chapman,1967,6,Retired,3/5/35,"Melbourne, Australia",Male,University Of Sydney; Massachusetts Institute Of Technology,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,,,0,0,0,0,,,
Kalpana Chawla,1995,15,Deceased,6/1/61,"Karnal, India",Female,Punjab Engineering College; University Of Texas-Arlington; University Of Colorado,Aeronautical Engineering,Aerospace Engineering,,,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/03,STS-107 (Columbia)
Leroy Chiao,1990,13,Retired,8/28/60,"Milwaukee, WI",Male,"University Of California-Berkeley; University Of California, Santa Barbara",Chemical Engineering,Chemical Engineering,,,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Kevin P. Chilton,1987,12,Retired,3/11/54,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
Laurel B. Clark,1996,16,Deceased,3/10/61,"Ames, IA",Female,University Of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/03,STS-107 (Columbia)
Mary L. Cleave,1980,9,Retired,2/5/47,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,,,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Michael R. Clifford,1990,13,Retired,10/13/52,"San Bernardino, CA",Male,US Military Academy; Georgia Institute Of Technology,,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Michael L. Coats,1978,8,Retired,1/16/46,"Sacramento, CA",Male,US Naval Academy; George Washington University In St. Louis; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Kenneth D. Cockrell,1990,13,Management,4/9/50,"Austin, TX",Male,University Of Texas; University Of West Florida,Mechanical Engineering,Aeronautical Systems,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Catherine G. Coleman,1992,14,Active,12/14/60,"Charleston, SC",Female,Massachusetts Institute Of Technology; University Of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Eileen M. Collins,1990,13,Retired,11/19/59,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Michael Collins,1963,3,Retired,10/31/30,"Rome, Italy",Male,US Military Academy,,,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
Charles Conrad Jr. ,1962,2,Deceased,5/2/30,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/99,
L. Gordon Cooper Jr. ,1959,1,Deceased,3/6/27,"Shawnee, OK",Male,Air Force Institute Of Technology,Aeronautical Engineering,,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",10/4/04,
Richard O. Covey,1978,8,Retired,8/1/46,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Timothy J. Creamer,1998,17,Management,11/15/59,"Ft. Huachuca, AZ",Male,Loyola College; Massachusetts Institute Of Technology,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
John O. Creighton,1978,8,Retired,4/28/43,"Orange, TX",Male,US Naval Academy; George Washington University In St. Louis,,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
Robert L. Crippen,1969,7,Retired,9/11/37,"Beaumont, TX",Male,University Of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Roger K. Crouch,,,Retired,9/12/40,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,,,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Frank L. Culbertson Jr. ,1984,10,Retired,5/15/49,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Walter Cunningham,1963,3,Retired,3/16/32,"Creston, IA",Male,University Of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
